orig,dest,flow
Indiana,Arizona,1.6773399999999998
Indiana,Arkansas,17.625040000000002
Indiana,California,81.32414000000001
Indiana,Colorado,0
Indiana,Connecticut,2.58034
Indiana,Delaware,2.24372
Indiana,Florida,89.27628
Indiana,Georgia,271.99562000000003
Indiana,Idaho,2.41226
Indiana,Illinois,722.18992
Indiana,Indiana,3803.3178
Indiana,Iowa,70.67716
Indiana,Kansas,50.251760000000004
Indiana,Kentucky,251.05856
Indiana,Louisiana,227.58974000000003
Indiana,Maine,0
Indiana,Maryland,29.681140000000006
Indiana,Massachusetts,9.55676
Indiana,Michigan,136.83582
Indiana,Minnesota,47.591499999999996
Indiana,Mississippi,4.943
Indiana,Missouri,11.26952
Indiana,Montana,0
Indiana,Nebraska,142.428
Indiana,Nevada,0
Indiana,New Hampshire,4.36064
Indiana,New Jersey,9.29282
Indiana,New Mexico,10.47868
Indiana,New York,54.9689
Indiana,North Carolina,131.75794
Indiana,North Dakota,0.00124
Indiana,Ohio,474.0577
Indiana,Oklahoma,10.57636
Indiana,Oregon,0
Indiana,Pennsylvania,70.79504
Indiana,Rhode Island,0
Indiana,South Carolina,12.0995
Indiana,South Dakota,130.67736
Indiana,Tennessee,80.05776
Indiana,Texas,112.53644
Indiana,Utah,0
Indiana,Vermont,1.1946400000000001
Indiana,Virginia,36.48
Indiana,Washington,7.298439999999999
Indiana,West Virginia,0.50272
Indiana,Wisconsin,29.83682
Indiana,Wyoming,0
Iowa,Alabama,30.598679999999995
Iowa,Arizona,33.990700000000004
Iowa,Arkansas,39.004859999999994
Iowa,California,128.39844
Iowa,Colorado,33.95002
Iowa,Connecticut,9.79646
Iowa,Delaware,6.2471
Iowa,Florida,38.69742
Iowa,Georgia,49.310739999999996
Iowa,Idaho,23.18142
Iowa,Illinois,742.4131799999999
Iowa,Indiana,70.54024
Iowa,Iowa,9610.443299999999
Iowa,Kansas,115.53968
Iowa,Kentucky,31.972140000000003
Iowa,Louisiana,583.97782
Iowa,Maine,2.89628
Iowa,Maryland,2.65174
Iowa,Massachusetts,44.30036
Iowa,Michigan,105.83174
Iowa,Minnesota,1151.7176
Iowa,Mississippi,31.587619999999998
Iowa,Missouri,416.39336000000003
Iowa,Montana,0
Iowa,Nebraska,641.07994
Iowa,Nevada,15.70878
Iowa,New Hampshire,0.4443
Iowa,New Jersey,30.28794
Iowa,New Mexico,15.27492
Iowa,New York,36.37842
Iowa,North Carolina,22.87954
Iowa,North Dakota,3.95762
Iowa,Ohio,130.6719
Iowa,Oklahoma,85.58712
Iowa,Oregon,10.062
Iowa,Pennsylvania,83.46079999999999
Iowa,Rhode Island,0.19084
Iowa,South Carolina,13.395399999999999
